| academy  | course | length | fitness | correction |
|----------+--------+--------+---------+------------|
| wa2013-1 | kurs01 |   9.00 |       1 |       0.00 |
| wa2013-1 | kurs02 |   6.17 |       2 |       0.00 |
| wa2013-1 | kurs03 |   3.84 |       3 |      +0.10 |
| wa2013-1 | kurs04 |   6.50 |       3 |      +0.00 |
| wa2013-1 | kurs05 |   9.17 |       4 |      +0.30 |
| wa2013-1 | kurs07 |  10.00 |       2 |       0.00 |
| wa2013-1 | kurs11 |   3.50 |       3 |       0.00 |
| wa2013-1 | kurs12 |   5.33 |       2 |       0.00 |
| wa2013-1 | kurs13 |   6.00 |       3 |       0.00 |
| wa2013-1 | kurs14 |   6.66 |       4 |       0.00 |
| wa2013-1 | kurs15 |   4.80 |       3 |       0.00 |
| wa2013-1 | kurs16 |   5.33 |       1 |       0.00 |
| wa2013-1 | kurs18 |   4.50 |       2 |       0.00 |
| wa2013-1 | kurs19 |   4.40 |       3 |       0.00 |
| wa2013-1 | kurs21 |   4.33 |       4 |       0.00 |
| wa2013-1 | kurs22 |   6.00 |       2 |       0.00 |
| wa2013-1 | kurs24 |   3.16 |       4 |       0.00 |
| wa2013-1 | kurs25 |   5.66 |       1 |       0.00 |
| wa2013-1 | kurs26 |   4.80 |       3 |       0.00 |
| wa2013-1 | kurs27 |   4.16 |       3 |       0.00 |
| pa2013-1 | kurs01 |   2.75 |       4 |       0.00 |
| pa2013-1 | kurs02 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs03 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs04 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs05 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs06 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs08 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs09 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs10 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs11 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs12 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs15 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs16 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs17 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs18 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs19 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs20 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs21 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs22 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs23 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs24 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs25 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs26 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs28 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs29 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs30 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs32 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs33 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs34 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs36 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs38 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs40 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs41 |   0.00 |       0 |       0.00 |
| pa2013-1 | kurs42 |   0.00 |       0 |       0.00 |

